		Wirelength			Area	
Trial	num_shapes	Initial	Final	% change	Best	Final	 % from best	Execution Time(s)
1	5	    9484	    6050	0.36	    6625	    7506	0.13	41.4
2	5	   10553	    6200	0.41	    6625	    7661	0.16	39.8
3	5	   10382	    6187	0.40	    6625	    7534	0.14	41.5
1	9	   11491	    6735	0.41	    6625	    7127	0.08	61.6
2	9	   11439	    6178	0.46	    6625	    7546	0.14	60.9
3	9	   16366	    6658	0.59	    6625	    7575	0.14	61.0
1	15	   11754	    6796	0.42	    6625	    7497	0.13	108.3
2	15	   13721	    6688	0.51	    6625	    7137	0.08	100.9
3	15	   11862	    6735	0.43	    6625	    7400	0.12	112.5
1	19	   10024	    6311	0.37	    6625	    7240	0.09	149.3
2	19	    9339	    6253	0.33	    6625	    7314	0.10	149.6
3	19	   12787	    6342	0.50	    6625	    7276	0.10	144.5
1	25	   11836	    6335	0.46	    6625	    6841	0.03	211.5
2	25	   11841	    6283	0.47	    6625	    7301	0.10	223.2
3	25	    9860	    6443	0.35	    6625	    6733	0.02	200.1
